response_id,model,rater_id,dimension,score
r00,FractureAgent,E0,clinical,4
r00,FractureAgent,E0,safety,5
r00,FractureAgent,E0,completeness,4
r00,FractureAgent,E0,readability,4
r00,FractureAgent,E0,empathy,4
r00,FractureAgent,E1,clinical,4
r00,FractureAgent,E1,safety,4
r00,FractureAgent,E1,completeness,5
r00,FractureAgent,E1,readability,4
r00,FractureAgent,E1,empathy,4
r00,FractureAgent,E2,clinical,5
r00,FractureAgent,E2,safety,5
r00,FractureAgent,E2,completeness,5
r00,FractureAgent,E2,readability,4
r00,FractureAgent,E2,empathy,4
r00,FractureAgent,E3,clinical,4
r00,FractureAgent,E3,safety,5
r00,FractureAgent,E3,completeness,5
r00,FractureAgent,E3,readability,5
r00,FractureAgent,E3,empathy,3
r00,FractureAgent,E4,clinical,5
r00,FractureAgent,E4,safety,5
r00,FractureAgent,E4,completeness,4
r00,FractureAgent,E4,readability,5
r00,FractureAgent,E4,empathy,4
r00,FractureAgent,E5,clinical,4
r00,FractureAgent,E5,safety,4
r00,FractureAgent,E5,completeness,4
r00,FractureAgent,E5,readability,5
r00,FractureAgent,E5,empathy,4
r00,LLaMA-3.1-8B-FT,E0,clinical,4
r00,LLaMA-3.1-8B-FT,E0,safety,3
r00,LLaMA-3.1-8B-FT,E0,completeness,4
r00,LLaMA-3.1-8B-FT,E0,readability,4
r00,LLaMA-3.1-8B-FT,E0,empathy,4
r00,LLaMA-3.1-8B-FT,E1,clinical,4
r00,LLaMA-3.1-8B-FT,E1,safety,4
r00,LLaMA-3.1-8B-FT,E1,completeness,4
r00,LLaMA-3.1-8B-FT,E1,readability,4
r00,LLaMA-3.1-8B-FT,E1,empathy,4
r00,LLaMA-3.1-8B-FT,E2,clinical,4
r00,LLaMA-3.1-8B-FT,E2,safety,4
r00,LLaMA-3.1-8B-FT,E2,completeness,3
r00,LLaMA-3.1-8B-FT,E2,readability,4
r00,LLaMA-3.1-8B-FT,E2,empathy,4
r00,LLaMA-3.1-8B-FT,E3,clinical,4
r00,LLaMA-3.1-8B-FT,E3,safety,4
r00,LLaMA-3.1-8B-FT,E3,completeness,4
r00,LLaMA-3.1-8B-FT,E3,readability,5
r00,LLaMA-3.1-8B-FT,E3,empathy,4
r00,LLaMA-3.1-8B-FT,E4,clinical,4
r00,LLaMA-3.1-8B-FT,E4,safety,4
r00,LLaMA-3.1-8B-FT,E4,completeness,3
r00,LLaMA-3.1-8B-FT,E4,readability,4
r00,LLaMA-3.1-8B-FT,E4,empathy,4
r00,LLaMA-3.1-8B-FT,E5,clinical,4
r00,LLaMA-3.1-8B-FT,E5,safety,3
r00,LLaMA-3.1-8B-FT,E5,completeness,3
r00,LLaMA-3.1-8B-FT,E5,readability,3
r00,LLaMA-3.1-8B-FT,E5,empathy,4
r00,GPT-4o_5shot,E0,clinical,3
r00,GPT-4o_5shot,E0,safety,4
r00,GPT-4o_5shot,E0,completeness,3
r00,GPT-4o_5shot,E0,readability,3
r00,GPT-4o_5shot,E0,empathy,5
r00,GPT-4o_5shot,E1,clinical,2
r00,GPT-4o_5shot,E1,safety,3
r00,GPT-4o_5shot,E1,completeness,3
r00,GPT-4o_5shot,E1,readability,3
r00,GPT-4o_5shot,E1,empathy,4
r00,GPT-4o_5shot,E2,clinical,5
r00,GPT-4o_5shot,E2,safety,4
r00,GPT-4o_5shot,E2,completeness,4
r00,GPT-4o_5shot,E2,readability,3
r00,GPT-4o_5shot,E2,empathy,4
r00,GPT-4o_5shot,E3,clinical,4
r00,GPT-4o_5shot,E3,safety,4
r00,GPT-4o_5shot,E3,completeness,3
r00,GPT-4o_5shot,E3,readability,4
r00,GPT-4o_5shot,E3,empathy,4
r00,GPT-4o_5shot,E4,clinical,4
r00,GPT-4o_5shot,E4,safety,5
r00,GPT-4o_5shot,E4,completeness,3
r00,GPT-4o_5shot,E4,readability,4
r00,GPT-4o_5shot,E4,empathy,3
r00,GPT-4o_5shot,E5,clinical,4
r00,GPT-4o_5shot,E5,safety,4
